date,buoyid,obs,mle
2010-05-18,46041,11.8417,11.8417
2010-05-18,46050,12.4708,12.4708
2010-05-18,46087,NA,7.2984
2010-05-18,46211,11.75,11.75
2010-05-19,46041,11.4217,11.4217
2010-05-19,46050,12.7667,12.7667
2010-05-19,46087,NA,7.2892
2010-05-19,46211,11.7319,11.7319
2010-05-20,46041,10.5375,10.5375
2010-05-20,46050,11.7625,11.7625
2010-05-20,46087,NA,6.919
2010-05-20,46211,11.2304,11.2304
2010-05-21,46041,10.5375,10.5375
2010-05-21,46050,11.6667,11.6667
2010-05-21,46087,NA,7.0007
2010-05-21,46211,11.75,11.75
2010-05-22,46041,10.7208,10.7208
2010-05-22,46050,11.6667,11.6667
2010-05-22,46087,NA,7.1094
2010-05-22,46211,12.1583,12.1583
2010-05-23,46041,11.075,11.075
2010-05-23,46050,11.9083,11.9083
2010-05-23,46087,NA,7.2213
2010-05-23,46211,12.1739,12.1739
2010-05-24,46041,11.0625,11.0625
2010-05-24,46050,12.2292,12.2292
2010-05-24,46087,NA,7.2676
2010-05-24,46211,12.0688,12.0688
2010-05-25,46041,10.8542,10.8542
2010-05-25,46050,12.0083,12.0083
2010-05-25,46087,NA,7.1763
2010-05-25,46211,11.8444,11.8444
2010-05-26,46041,10.925,10.925
2010-05-26,46050,12.1333,12.1333
2010-05-26,46087,NA,7.2771
2010-05-26,46211,12.1915,12.1915
2010-05-27,46041,10.8208,10.8208
2010-05-27,46050,12.4667,12.4667
2010-05-27,46087,NA,7.3607
2010-05-27,46211,12.3979,12.3979
2010-05-28,46041,11.0042,11.0042
2010-05-28,46050,12.4542,12.4542
2010-05-28,46087,NA,7.361
2010-05-28,46211,12.1435,12.1435
2010-05-29,46041,10.8875,10.8875
2010-05-29,46050,12.6333,12.6333
2010-05-29,46087,NA,7.3466
2010-05-29,46211,11.9064,11.9064
2010-05-30,46041,11.2417,11.2417
2010-05-30,46050,12.8208,12.8208
2010-05-30,46087,NA,7.4522
2010-05-30,46211,11.9372,11.9372
2010-05-31,46041,11.1208,11.1208
2010-05-31,46050,12.8083,12.8083
2010-05-31,46087,NA,7.4373
2010-05-31,46211,NA,11.8928
2010-06-01,46041,11.1087,11.1087
2010-06-01,46050,12.8375,12.8375
2010-06-01,46087,NA,7.4512
2010-06-01,46211,NA,11.8771
2010-06-02,46041,10.8542,10.8542
2010-06-02,46050,12.5708,12.5708
2010-06-02,46087,NA,7.3621
2010-06-02,46211,NA,11.7585
2010-06-03,46041,11.2583,11.2583
2010-06-03,46050,12.5417,12.5417
2010-06-03,46087,NA,7.4445
2010-06-03,46211,NA,11.8113
2010-06-04,46041,11.5125,11.5125
2010-06-04,46050,12.5261,12.5261
2010-06-04,46087,NA,7.5007
2010-06-04,46211,NA,11.8381
2010-06-05,46041,12.3792,12.3792
2010-06-05,46050,12.9708,12.9708
2010-06-05,46087,NA,7.7623
2010-06-05,46211,NA,12.0702
2010-06-06,46041,14.0333,14.0333
2010-06-06,46050,13.3625,13.3625
2010-06-06,46087,NA,8.1645
2010-06-06,46211,NA,12.4428
